invoice_no,customer_name,customer_gstin,invoice_date,due_date,gross_amount,tds_amount,net_receivable,currency,status,po_reference
INV-2026-1176,Greenfield Organics Pvt Ltd,36AABCG6789X1ZH,2026-08-29,2026-09-28,39947.00,0.00,39947.00,INR,open,PO-GREE-75418
INV-2026-1177,Kaveri Agro Export,29AAECK7890R1ZM,2026-08-27,2026-09-26,29651.00,0.00,29651.00,INR,open,PO-KAVE-28274
INV-2026-1178,Vertex Engineering,27AAGCV8901V1ZL,2026-08-29,2026-09-28,20649.00,0.00,20649.00,INR,open,PO-VERT-49941
INV-2026-1179,Pinnacle Steel Traders,27AACCP0123Y1ZR,2026-08-27,2026-09-26,45073.00,0.00,45073.00,INR,open,PO-PINN-35976
INV-2026-1180,Bharat Traders and Co,27AACFB5678N1ZK,2026-08-29,2026-09-28,36779.00,0.00,36779.00,INR,open,PO-BHAR-29660
INV-2026-1181,Bharati Traders,27AACFB5678N1Z2,2026-08-30,2026-09-29,47107.00,0.00,47107.00,INR,open,PO-BHAR-46232
INV-2026-1182,Orchid Foods Pvt Ltd,29AAJCO4567U1ZC,2026-09-01,2026-10-01,16937.00,0.00,16937.00,INR,open,PO-ORCH-31119
INV-2026-1183,GREENFIELD ORGANIC,36AABCG6789X1ZH,2026-09-01,2026-10-01,47995.00,0.00,47995.00,INR,open,PO-GREE-39898
INV-2026-1184,Harbour Marine Supplies,33AAECH4567Z1ZN,2026-08-31,2026-09-30,6525.00,0.00,6525.00,INR,open,PO-HARB-84561
INV-2026-1185,Pinnacle Steels Traders,27AACCP0123Y1ZR,2026-08-31,2026-09-30,25583.00,511.66,25071.34,INR,open,PO-PINN-28959
INV-2026-1186,Bharati Traders,27AACFB5678N1Z2,2026-08-31,2026-09-30,41597.00,0.00,41597.00,INR,open,PO-BHAR-36447
INV-2026-1187,Sunline Textiles Limited,33AAGCS9012P1Z9,2026-09-03,2026-10-03,36473.00,0.00,36473.00,INR,open,PO-SUNL-45969
INV-2026-1188,Kaveri Agro Exports,29AAECK7890R1ZM,2026-09-04,2026-10-04,24799.00,0.00,24799.00,INR,open,PO-KAVE-62302
INV-2026-1189,Kaveri Agro Exports Pvt Ltd,29AAECK7890R1ZM,2026-09-02,2026-10-02,13659.00,0.00,13659.00,INR,open,PO-KAVE-29026
INV-2026-1190,Deccan Pharma Distributors,36AAFCD6789T1ZW,2026-09-03,2026-10-03,49878.00,0.00,49878.00,INR,open,PO-DECC-17561
INV-2026-1191,Lotus Paper Mills Limited,24AAFCL2345B1ZT,2026-09-04,2026-10-04,17000.00,0.00,17000.00,INR,open,PO-LOTU-32007
INV-2026-1192,Bharati Traders,27AACFB5678N1Z2,2026-09-04,2026-10-04,23619.00,0.00,23619.00,INR,open,PO-BHAR-44645
INV-2026-1193,Orchid Foods Private Limited,29AAJCO4567U1ZC,2026-09-07,2026-10-07,10326.00,0.00,10326.00,INR,open,PO-ORCH-55403
INV-2026-1194,Vertex Engineering Works,27AAGCV8901V1ZL,2026-09-06,2026-10-06,1632.00,0.00,1632.00,INR,open,PO-VERT-44512
INV-2026-1195,Pinnacle Steel Traders,27AACCP0123Y1ZR,2026-09-05,2026-10-05,17974.00,0.00,17974.00,INR,open,PO-PINN-60654
INV-2026-1196,Sunline Textiles Ltd,33AAGCS9012P1Z9,2026-09-05,2026-10-05,39022.00,0.00,39022.00,INR,open,PO-SUNL-42024
INV-2026-1197,Deccan Pharma Distributor,36AAFCD6789T1ZW,2026-09-05,2026-10-05,42349.00,0.00,42349.00,INR,open,PO-DECC-76790
INV-2026-1198,Lotus Paper Mills Ltd,24AAFCL2345B1ZT,2026-09-06,2026-10-06,7067.00,0.00,7067.00,INR,open,PO-LOTU-11939
INV-2026-1199,Meridian Logistics,29AAPFM3456Q1ZB,2026-09-09,2026-10-09,12102.00,0.00,12102.00,INR,open,PO-MERI-75429
INV-2026-1200,Silverline Packaging LLP,29AAQFS2345W1ZD,2026-09-09,2026-10-09,45492.00,0.00,45492.00,INR,open,PO-SILV-29338
